Index,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Date
258,kiruna,67.86,20.23,46.4,100,44,5.82,SE,1601427618
259,polis,35.04,32.43,78.8,74,20,8.05,CY,1601427619
260,urumqi,43.8,87.6,42.8,45,0,6.71,CN,1601427619
261,shanghai,31.22,121.46,75.2,69,20,13.42,CN,1601427607
262,hofn,64.25,-15.21,48.76,93,100,23.38,IS,1601427620
263,lupiro,-8.38,36.67,71.01,77,56,6.53,TZ,1601427620
264,byron bay,-28.65,153.62,71.01,49,100,9.17,AU,1601427603
265,lively,46.43,-81.15,53.01,87,75,8.05,CA,1601427537
266,ongandjera,-17.88,15.07,63.61,27,0,10.6,NA,1601427621
267,kavaratti,10.57,72.64,80.42,81,92,11.21,IN,1601427622
268,westerland,54.91,8.3,57.2,87,73,5.82,DE,1601427622
269,sao joao da barra,-21.64,-41.05,74.03,89,95,6.69,BR,1601427548
270,port macquarie,-31.43,152.92,70,50,100,1.99,AU,1601427353
271,tamandare,-8.76,-35.1,74.93,79,7,9.01,BR,1601427623
272,zhangye,38.93,100.45,51.3,47,92,14.16,CN,1601427623
273,kollam,8.88,76.6,78.8,94,40,3.36,IN,1601427624
274,kudahuvadhoo,2.67,72.89,82.44,75,100,10.02,MV,1601427624
275,morro bay,35.37,-120.85,93,61,7,1.99,US,1601427538
276,peniche,39.36,-9.38,61,91,100,3,PT,1601427625
277,asbe teferi,9.08,40.87,61.56,79,80,4.81,ET,1601427625
278,zhaotong,27.32,103.72,57.49,85,100,2.37,CN,1601427435
279,itarema,-2.92,-39.92,78.15,81,0,17.4,BR,1601427626
280,aden,12.78,45.04,84.78,70,0,7.78,YE,1601427482
281,bardiyah,31.76,25.09,73.47,76,0,9.48,LY,1601427627
282,qasigiannguit,68.82,-51.19,28.4,63,91,5.82,GL,1601427627
283,sioux lookout,50.1,-91.92,50,87,75,2.24,CA,1601427629
284,oliveira,-20.7,-44.83,75.45,52,32,11.54,BR,1601427443
285,mayor pablo lagerenza,-19.93,-60.77,89.37,32,0,9.84,PY,1601427481
286,alice springs,-23.7,133.88,73.4,40,0,13.87,AU,1601427418
287,rize,40.9,40.89,53.82,52,96,4.65,TR,1601427630
288,constitucion,-35.33,-72.42,51.31,89,100,13.78,CL,1601427567
289,rock sound,24.9,-76.2,83.97,75,45,16.28,BS,1601427341
290,sabzevar,36.21,57.68,44.51,49,0,5.59,IR,1601427631
291,cherskiy,68.75,161.3,45.46,58,100,16.62,RU,1601427631
292,numan,9.47,12.03,71.58,95,100,5.44,NG,1601427632
293,kabanjahe,3.1,98.49,69.06,88,48,1.36,ID,1601427632
294,kiunga,-6.12,141.29,83.21,73,92,5.37,PG,1601427632
295,airai,-8.93,125.41,76.23,40,100,5.95,TL,1601427633
296,lavrentiya,65.58,-171,37.81,76,0,1.52,RU,1601427633
297,camana,-16.62,-72.71,60.96,79,83,6.8,PE,1601427634
298,bhor,18.17,73.85,68.31,86,93,2.08,IN,1601427634
299,diffa,13.32,12.61,77.88,71,99,10.22,NE,1601427426
300,fredericksburg,38.3,-77.46,59,100,90,8.05,US,1601427635
301,hammerfest,70.66,23.68,50,87,75,5.82,NO,1601427635
302,umm lajj,25.02,37.27,86.41,41,0,8.19,SA,1601427635
303,huarmey,-10.07,-78.15,62.17,84,60,7.45,PE,1601427636
304,mandalgovi,45.76,106.27,44.38,81,98,15.66,MN,1601427636
305,luanda,-8.84,13.23,73.4,83,75,2.24,AO,1601427458
306,husavik,66.04,-17.34,33.8,81,90,14.83,IS,1601427637
307,gat,31.61,34.76,75.99,86,0,3.42,IL,1601427598
308,nanortalik,60.14,-45.24,35.31,77,0,19.46,GL,1601427637
309,pizarro,4.95,-77.37,76.17,89,100,5.82,CO,1601427638
310,phan thiet,10.93,108.1,79.29,82,100,7.36,VN,1601427638
311,helena,46.59,-112.04,80.6,13,1,16.11,US,1601427554
312,morehead,37.27,-87.18,57.2,71,1,5.86,US,1601427638
313,tuatapere,-46.13,167.68,47.19,80,100,9.35,NZ,1601427639
314,ussel,45.55,2.32,46.99,59,0,1.34,FR,1601427639
315,vaasa,63.1,21.62,54,100,90,3.36,FI,1601427640
316,walvis bay,-22.96,14.51,51.01,93,0,9.17,NA,1601427640
317,fairbanks,64.84,-147.72,55.4,43,1,4.25,US,1601427632
318,tuxpan,19.55,-103.4,78.8,78,75,11.41,MX,1601427641
319,ashqelon,31.67,34.57,77,83,0,4.7,IL,1601427642
320,xuanwu,32.07,118.81,69.8,83,0,4.47,CN,1601427642
321,valparaiso,-33.04,-71.63,51.8,76,0,4.7,CL,1601427643
322,rockport,28.02,-97.05,77,31,1,5.82,US,1601427403
323,koekelare,51.09,2.97,55.99,93,20,5.82,BE,1601427643
324,sitka,57.05,-135.33,53.6,81,90,8.05,US,1601427644
325,flinders,-34.58,150.86,68,62,100,4,AU,1601427595
326,port blair,11.67,92.75,82.27,80,78,18.21,IN,1601427645
327,mar del plata,-38,-57.56,63,63,94,8.05,AR,1601427557
328,baiyin,36.56,104.21,62.01,93,90,6.71,CN,1601427645
329,saldanha,-33.01,17.94,50,81,4,6.93,ZA,1601427646
330,shimoda,34.67,138.95,69.8,68,40,16.11,JP,1601427401
331,mayo,38.89,-76.51,73.4,100,90,12.75,US,1601427647
332,ponta do sol,32.67,-17.1,69.8,68,75,6.93,PT,1601427647
333,tambun,-6.26,107.07,87.01,69,41,4.7,ID,1601427648
334,longview,32.5,-94.74,69.8,40,1,2.28,US,1601427648
335,adrar,20.5,-10.07,91.31,18,0,7.81,MR,1601427649
336,bandar-e lengeh,26.56,54.88,82.4,83,0,4.7,IR,1601427649
337,san andres,12.58,-81.7,82.4,78,75,2.24,CO,1601427582
338,goderich,43.75,-81.72,60.01,66,100,1.99,CA,1601427650
339,alyangula,-13.85,136.42,87.8,55,75,14.99,AU,1601427651
340,along,28.17,94.77,72.84,86,15,0.63,IN,1601427651
341,mombetsu,44.35,143.35,62.6,77,100,1.12,JP,1601427652
342,oussouye,12.48,-16.55,82.4,88,100,2.24,SN,1601427652
343,churapcha,62,132.43,39.4,69,0,8.43,RU,1601427653
344,te anau,-45.42,167.72,45.48,82,11,2.8,NZ,1601427487
345,rudsar,37.14,50.29,66.2,72,40,2.24,IR,1601427653
346,marquette,46.53,-87.63,52,92,100,4.43,US,1601427600
347,bethanien,-26.5,17.16,45.57,40,0,2.91,NA,1601427654
348,zharkent,44.16,80,42.87,53,0,3.27,KZ,1601427655
349,ransang,8.96,117.58,82.71,75,97,0.74,PH,1601427655
350,bizhbulyak,53.7,54.26,48.36,84,0,3.4,RU,1601427656
351,hurghada,27.26,33.81,84.2,42,0,9.17,EG,1601427656
352,saint-augustin,51.23,-58.65,59.86,92,41,15.35,CA,1601427657
353,pilar,-9.6,-35.96,71.6,88,62,3.36,BR,1601427657
354,kokstad,-30.55,29.42,45.09,85,100,2.73,ZA,1601427658
